,branch_district,Branch,CalendarDate,branch_day_new_loans,branch_day_emps,branch_day_workingdays,branch_day_LPE,District,LPE,Group,Golive,PrePost,Post,Group_num
2949,888.0,2108,2025-09-18,1,2.0,1,0.5,888.0,0.5,Control,2025-09-17,Post,1,0
2950,888.0,2108,2025-09-19,3,2.0,1,1.5,888.0,1.5,Control,2025-09-17,Post,1,0
2951,888.0,2108,2025-09-22,3,2.0,1,1.5,888.0,1.5,Control,2025-09-17,Post,1,0
2952,888.0,2109,2025-09-10,1,3.0,1,0.3333333333333333,888.0,0.3333333333333333,Control,2025-09-17,Pre,0,0
2953,888.0,2109,2025-09-11,2,3.0,1,0.6666666666666666,888.0,0.6666666666666666,Control,2025-09-17,Pre,0,0
2954,888.0,2109,2025-09-12,0,3.0,1,0.0,888.0,0.0,Control,2025-09-17,Pre,0,0
2955,888.0,2109,2025-09-15,3,3.0,1,1.0,888.0,1.0,Control,2025-09-17,Pre,0,0
2956,888.0,2109,2025-09-16,0,3.0,1,0.0,888.0,0.0,Control,2025-09-17,Pre,0,0
2957,888.0,2109,2025-09-17,0,3.0,1,0.0,888.0,0.0,Control,2025-09-17,Post,1,0
2958,888.0,2109,2025-09-18,1,3.0,1,0.3333333333333333,888.0,0.3333333333333333,Control,2025-09-17,Post,1,0
2959,888.0,2109,2025-09-19,3,3.0,1,1.0,888.0,1.0,Control,2025-09-17,Post,1,0
2960,888.0,2109,2025-09-22,2,3.0,1,0.6666666666666666,888.0,0.6666666666666666,Control,2025-09-17,Post,1,0
